id_imagem,arquivo_imagem,id_celula,classe_bethesda,rotulo_binario,alvo,nucleo_x,nucleo_y,caminho_imagem,caminho_recorte,particao,prob_anormal,alvo_predito
396,ba9d94a8fdbaba01220db89cde170b24.png,223,Negative for intraepithelial lesion,normal,0,508,164,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0223_normal.png,teste,0.3800419,1
396,ba9d94a8fdbaba01220db89cde170b24.png,224,Negative for intraepithelial lesion,normal,0,724,88,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0224_normal.png,teste,0.9324471,1
396,ba9d94a8fdbaba01220db89cde170b24.png,225,Negative for intraepithelial lesion,normal,0,50,787,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0225_normal.png,teste,0.025215138,0
396,ba9d94a8fdbaba01220db89cde170b24.png,226,Negative for intraepithelial lesion,normal,0,67,830,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0226_normal.png,teste,0.024318838,0
396,ba9d94a8fdbaba01220db89cde170b24.png,227,Negative for intraepithelial lesion,normal,0,182,821,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0227_normal.png,teste,0.022352487,0
396,ba9d94a8fdbaba01220db89cde170b24.png,228,Negative for intraepithelial lesion,normal,0,150,820,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0228_normal.png,teste,0.022529481,0
396,ba9d94a8fdbaba01220db89cde170b24.png,229,Negative for intraepithelial lesion,normal,0,277,807,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0229_normal.png,teste,0.024033332,0
396,ba9d94a8fdbaba01220db89cde170b24.png,230,Negative for intraepithelial lesion,normal,0,285,746,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0230_normal.png,teste,0.027426254,0
396,ba9d94a8fdbaba01220db89cde170b24.png,231,Negative for intraepithelial lesion,normal,0,184,657,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\normal\img396_cell0231_normal.png,teste,0.027512467,0
396,ba9d94a8fdbaba01220db89cde170b24.png,232,LSIL,anormal,1,233,510,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\cric_cervix\images\cric_image_396_ba9d94a8fdbaba01220db89cde170b24.png,C:\Users\jeanc\OneDrive\Área de Trabalho\Pesquisa - Karielly\outputs_binary\crops\anormal\img396_cell0232_anormal.png,teste,0.97207445,1
